DMAQ
( Nb)   Gr (P) (Q) Und ( Mg ) ( Mt )u( Mv )u( Me )u(Xvd)(Nbc)
 5595   10 100 100   3   5400   5400u  5440u  5470u      5595 ESTREIUH-3GR
 1173   10 100 100   1   5500   5500u  5540u  5570u      1173 CANDI3UT-1GR
 1070   10 100 100   4   5600   5600u  5640u  5670u      1070 FCHAPEUH-4GR
 9452   10 100 100   1   5702   5702u  5742u             9452 QUIRI-UT-1GR
 9453   10 100 100   2   5703   5703u  5743u             9453 BVISTAUT-2GR
 9448   10 100 100   2   5720   5720u  5760u  5780u      9448 CACU--UH-2GR
 9442   10 100 100   2   5721   5721u  5761u  5781u      9442 SALTO-UH-2GR
 9449   10 100 100   2   5722   5722u  5762u  5782u      9449 BCOQUEUH-2GR
 9443   10 100 100   2   5723   5723u  5763u  5783u      9443 S.R.V-UH-2GR
 9447   10 100 100   2   5724   5724u  5764u  5784u      9447 FRCLARUH-2GR
 3014   10 100 100   2   5800   5800u  5840u  5870u      3014 SERRA-UH-2GR
 7050   10  50  50   3   6000   6000u  6040u             7050 SA-MD-UH-6GR
 7050   20  50  50   3   6001   6001u  6041u             7050 SA-MD-UH-6GR
 7064   10  50  50   6   6002   6002u  6042u             7064 SA-ME-UH12GR
 7064   20  50  50   6   6003   6003u  6043u             7064 SA-ME-UH12GR
 7062   10  63  63   6   6004   6004u  6044u             7062 SA-LR-UH10GR
 7062   20  37  37   4   6005   6005u  6045u             7062 SA-LR-UH10GR
 6888   10 100 100   2   6006   6006u  6046u             6888 SA-AD1UH-2GR
 6892   10 100 100   2   6011   6011u  6051u             6892 SA-AD2UH-2GR
 7051   10 100 100  12   6100   6100u  6140u             7051 JIR-MDUH11GR
 7061   10 100 100  10   6101   6101u  6141u             7061 JIR-MEUH-8GR
 5698   10 100 100   2   6200   6200u  6240u  6270u      5698 SUZAN-UT-2GR
 8224   10 100 100   2   7000   7000u  7040u  7070u      8224 CNUNE1UH-2GR
 8225   10 100 100   1   7001   7001u  7041u  7071u      8225 CNUNE2UH-1GR
 8269   10 100 100   2   7004   7004u  7044u  7074u      8269 SA.JARUH-2GR
 8279   10 100 100   1   7005   7005u  7045u  7075u      8279 FGOMESUH-1GR
 8597   10 100 100   3   7104   7104u  7144u             8597 BALBEQUH-3GR
 8612   10 100 100  10   7112   7112u  7152u             8612 PIEJR2UT10GR
 8616   10 100 100  11   7113   7113u  7153u             8616 PIEJR1UT11GR
 8615   10 100 100  11   7114   7114u  7154u             8615 PIETB1UT11GR
 8617   10 100 100  10   7115   7115u  7155u             8617 PIETB2UT10GR
 8609   10 100 100   4   7109   7109u  7149u             8609 PIE-MAUT-4GR
 8610   10 100 100   4   7110   7110u  7150u             8610 PIEGERUT-4GR
 8611   10 100 100   4   7111   7111u  7151u             8611 CROCHAUT-4GR
 8646   10 100 100   2   7101   7101u  7141u             8646 APARE1UT-2GR
 8653   10 100 100   2   7102   7102u  7142u             8653 APARE2UT-2GR
 8535   10 100 100   2   3687   3687u  3667u  3697u      8535 MAUAG1UT-2GR
 8538   10 100 100   1   3688   3688u  3668u  3698u      8538 MAUAG2UT-1GR
 4462   10 100 100   1   6300   6300u  6340u  6370u      4462 COLID-UH-1GR
 4492   10 100 100   2   6301   6301u  6341u  6371u      4492 TPIRESUH-2GR
